Year,Asset,Country,VolumeUSD
2021,btc,NGN,906194.3190369541
2021,btc,NGN,764883.4583188554
2021,btc,NGN,1583462.557704903
2021,btc,NGN,1155252.5113498876
2021,btc,NGN,804827.485958199
2021,btc,NGN,527640.1848791721
2021,btc,NGN,536158.7659856813
2021,btc,NGN,767502.0933725256
2021,btc,NGN,654199.4051412143
2021,btc,NGN,1050933.123989502
2021,btc,NGN,504347.5126525698
2021,btc,NGN,253842.42398337615
2021,btc,NGN,380791.2231599561
2021,btc,NGN,567925.7763213012
2021,btc,NGN,559890.9151650321
2021,btc,NGN,377011.3890064622
2021,btc,NGN,801506.2309031395
2021,btc,NGN,589532.4224743914
2021,btc,NGN,382095.1882231123
2021,btc,NGN,373427.6389510707
2021,btc,NGN,214361.03561701
2021,btc,NGN,297894.6766071295
2021,btc,NGN,353873.93965157145
2021,btc,NGN,235274.62956355533
2021,btc,NGN,285689.81541624333
2021,btc,NGN,284355.6335014477
2021,btc,NGN,299732.4511913992
2021,btc,NGN,361213.28541346866
2021,btc,NGN,456401.8787887942
2021,btc,NGN,342997.7430187767
2021,btc,NGN,1000562.1690600296
2021,btc,NGN,501660.0289447804
2021,btc,NGN,621280.2326027458
2021,btc,NGN,1327072.6895033664
2021,btc,NGN,1572378.719987629
2021,btc,NGN,1054364.4738123966
2021,btc,NGN,862964.770173569
2021,btc,NGN,815791.904515795
2021,btc,NGN,691653.9786078697
2021,btc,NGN,1066073.2401165832
2021,btc,NGN,1207386.7913381099
2021,btc,NGN,1996889.7158924914
2021,btc,NGN,1909180.2001879981
2021,btc,NGN,1287825.1809271409
2021,btc,NGN,1050432.9109834402
2021,btc,NGN,1243933.554357093
2021,btc,NGN,1514086.8146747819
2021,btc,NGN,1816109.3790355804
2021,btc,NGN,1727334.4096803812
2021,btc,NGN,1289733.1744760736
2021,btc,NGN,3252080.2740693595
2021,btc,NGN,1496426.3334383313
2021,btc,NGN,531043.7288997568
2021,btc,NGN,695577.6327674289
2021,btc,NGN,852664.1067589514
2021,btc,NGN,780708.7554210068
2021,btc,NGN,1420605.9791104563
2021,btc,NGN,1183962.8903701073
2021,btc,NGN,886438.6199224051
2021,btc,NGN,593432.7808112309
2021,btc,NGN,794892.2575775519
2021,btc,NGN,897017.980620997
2021,btc,NGN,532815.3791054249
2021,btc,NGN,416436.78815021034
2021,btc,NGN,302212.72054192267
2021,btc,NGN,284056.9572250234
2021,btc,NGN,312734.39813749015
2021,btc,NGN,650855.1588939176
2021,btc,NGN,833943.4750248204
2021,btc,NGN,717013.7826703477
2021,btc,NGN,634877.0917238618
2021,btc,NGN,117837.5285160401
2021,btc,NGN,401162.54897436214
2021,btc,NGN,616584.601406508
