node,classification,pagerank,x_position,y_position,size
PLA,Crypto,0.0009273970751304577,0.0,16.0,10.0
WABI,Crypto,0.0007663330406608137,1.0,16.0,1.0
LISTA,Crypto,0.001039197147919111,2.0,16.0,11.331034735781502
DENT,Crypto,0.0010750943123660121,3.0,16.0,11.436825137853434
GLM,Crypto,0.0009277705972246628,4.0,16.0,10.0
BICO,Crypto,0.00077396399884204,5.0,16.0,1.0
MATIC,Crypto,0.0026150282503240915,6.0,16.0,14.62628139925008
STPT,Crypto,0.0009273970751304577,7.0,16.0,10.0
1MBABYDOGE,Crypto,0.0007495936729629206,8.0,16.0,1.0
RVN,Crypto,0.0009212877139833896,9.0,16.0,10.0
ARKM,Crypto,0.0014742666778706363,10.0,16.0,12.473799401715063
SLP,Crypto,0.001211509894608829,11.0,16.0,11.817640076852749
CND,Crypto,0.0007663330406608137,12.0,16.0,1.0
GMT,Crypto,0.0017708130959761823,13.0,16.0,13.122334271978646
WLD,Crypto,0.0011841159757932,14.0,16.0,11.743671234578352
ETH,Crypto,0.03890402194392339,15.0,16.0,31.628997921869953
OM,Crypto,0.0009212877139833896,16.0,16.0,10.0
USTC,Crypto,0.0009070340148479806,17.0,16.0,10.0
AUTO,Crypto,0.00077396399884204,18.0,16.0,1.0
KEEP,Crypto,0.0009273970751304577,19.0,16.0,10.0
MOB,Crypto,0.00077396399884204,20.0,16.0,1.0
PAXG,Crypto,0.001074720790271807,21.0,16.0,11.43573717964948
SOL,Crypto,0.0026150282503240915,22.0,16.0,14.62628139925008
LOOM,Crypto,0.00122852738865443,0.0,17.0,11.86300278385729
HMSTR,Crypto,0.0009030267492513382,1.0,17.0,10.0
AUD,AES,0.004751751613470314,2.0,17.0,17.30011082430058
MKR,Crypto,0.001074720790271807,3.0,17.0,11.43573717964948
RUNE,Crypto,0.0020533581419589007,4.0,17.0,13.672837010606688
NAS,Crypto,0.0007663330406608137,5.0,17.0,1.0
BCPT,Crypto,0.001177534453290035,6.0,17.0,11.725721716227568
CTSI,Crypto,0.0009273970751304577,7.0,17.0,10.0
ARPA,Crypto,0.0013667981734878287,8.0,17.0,12.216200260872178
PSG,Crypto,0.0009212877139833896,9.0,17.0,10.0
AION,Crypto,0.0010812036735130804,10.0,17.0,11.4545824420939
NKN,Crypto,0.0009273970751304577,11.0,17.0,10.0
XZC,Crypto,0.0010624063232165504,12.0,17.0,11.399719649961355
CMT,Crypto,0.0007663330406608137,13.0,17.0,1.0
RDNT,Crypto,0.0009005649978873487,14.0,17.0,10.0
RONIN,Crypto,0.0009074822196738604,15.0,17.0,10.0
IMX,Crypto,0.001074720790271807,16.0,17.0,11.43573717964948
BCC,Crypto,0.0009237633316280204,17.0,17.0,10.0
ORN,Crypto,0.00077396399884204,18.0,17.0,1.0
FIRO,Crypto,0.0009277705972246628,19.0,17.0,10.0
CKB,Crypto,0.00105965068526933,20.0,17.0,11.391619947628364
CYBER,Crypto,0.0013514395201339197,21.0,17.0,12.178239808731849
API3,Crypto,0.001074720790271807,22.0,17.0,11.43573717964948
OOKI,Crypto,0.0009233151268021404,0.0,18.0,10.0
EPS,Crypto,0.00077396399884204,1.0,18.0,1.0
RLC,Crypto,0.0010812036735130804,2.0,18.0,11.4545824420939
STX,Crypto,0.0013567186091332781,3.0,18.0,12.191321508789654
DEXE,Crypto,0.0007698820505137231,4.0,18.0,1.0
RDN,Crypto,0.0007663330406608137,5.0,18.0,1.0
SUSHI,Crypto,0.0009273970751304577,6.0,18.0,10.0
DODO,Crypto,0.00077396399884204,7.0,18.0,1.0
EURI,Crypto,0.0007526035161218591,8.0,18.0,1.0
GRT,Crypto,0.001354809019106422,9.0,18.0,12.186593622242619
TRB,Crypto,0.0013567186091332781,10.0,18.0,12.191321508789654
UST,Crypto,0.0013864281130341533,11.0,18.0,12.264285379882999
DLT,Crypto,0.0007663330406608137,12.0,18.0,1.0
ANC,Crypto,0.0009273970751304577,13.0,18.0,10.0
MAV,Crypto,0.0009005649978873487,14.0,18.0,10.0
TCT,Crypto,0.0007699567332453977,15.0,18.0,1.0
RAMP,Crypto,0.00077396399884204,16.0,18.0,1.0
SSV,Crypto,0.001064488223013682,17.0,18.0,11.405829273132074
PHA,Crypto,0.00077396399884204,18.0,18.0,1.0
NTRN,Crypto,0.0009172804483867471,19.0,18.0,10.0
YOYO,Crypto,0.0007663330406608137,20.0,18.0,1.0
RGT,Crypto,0.0009273970751304577,21.0,18.0,10.0
PLN,EMDE,0.0009277705972246628,22.0,18.0,10.0
WBTC,Crypto,0.0009277705972246628,0.0,19.0,10.0
KNC,Crypto,0.0010812036735130804,1.0,19.0,11.4545824420939
PYTH,Crypto,0.0009074822196738604,2.0,19.0,10.0
CLV,Crypto,0.0009273970751304577,3.0,19.0,10.0
TRIBE,Crypto,0.0009273970751304577,4.0,19.0,10.0
ELF,Crypto,0.0009277705972246628,5.0,19.0,10.0
HOOK,Crypto,0.0009273970751304577,6.0,19.0,10.0
VOXEL,Crypto,0.0010812036735130804,7.0,19.0,11.4545824420939
IRIS,Crypto,0.0009273970751304577,8.0,19.0,10.0
MASK,Crypto,0.0009168322435608672,9.0,19.0,10.0
NEIRO,Crypto,0.0010218439307955723,10.0,19.0,11.278974977996768
ACM,Crypto,0.0009212877139833896,11.0,19.0,10.0
ADX,Crypto,0.0010812036735130804,12.0,19.0,11.4545824420939
QSP,Crypto,0.0007663330406608137,13.0,19.0,1.0
ZEN,Crypto,0.0010812036735130804,14.0,19.0,11.4545824420939
STEEM,Crypto,0.0010812036735130804,15.0,19.0,11.4545824420939
REEF,Crypto,0.0010621587666487288,16.0,19.0,11.398992603583764
BCH,Crypto,0.0017656369096414378,17.0,19.0,13.111693098827976
MDX,Crypto,0.0009273970751304577,18.0,19.0,10.0
PHX,Crypto,0.0007663330406608137,19.0,19.0,1.0
VANRY,Crypto,0.0007638473720983296,20.0,19.0,1.0
DATA,Crypto,0.0009277705972246628,21.0,19.0,10.0
WAVES,Crypto,0.0019140794452819287,22.0,19.0,13.408589736488457
FIL,Crypto,0.0015105252075159011,0.0,20.0,12.557737620889956
GXS,Crypto,0.0009237633316280204,1.0,20.0,10.0
AGLD,Crypto,0.0009273970751304577,2.0,20.0,10.0
BCHABC,Crypto,0.0011851654114712613,3.0,20.0,11.746526857646588
APPC,Crypto,0.0007663330406608137,4.0,20.0,1.0
ROSE,Crypto,0.00122852738865443,5.0,20.0,11.86300278385729
QNT,Crypto,0.0009273970751304577,6.0,20.0,10.0
BTC,Crypto,0.08525981522408625,7.0,20.0,39.757678337870274
METIS,Crypto,0.0009074822196738604,8.0,20.0,10.0
INJ,Crypto,0.00164724283330492,9.0,20.0,12.862103961387753
BUSD,Crypto,0.06927375042957233,10.0,20.0,37.417073956817
BB,Crypto,0.0011992782672482184,11.0,20.0,11.784758562284225
KAVA,Crypto,0.0010812036735130804,12.0,20.0,11.4545824420939
HNT,Crypto,0.00077396399884204,13.0,20.0,1.0
MOVR,Crypto,0.001074720790271807,14.0,20.0,11.43573717964948
DIA,Crypto,0.0009273970751304577,15.0,20.0,10.0
CREAM,Crypto,0.0007695085284195178,16.0,20.0,1.0
ATM,Crypto,0.0009212877139833896,17.0,20.0,10.0
LAZIO,Crypto,0.0010573675731482685,18.0,20.0,11.384897973959035
IOTA,Crypto,0.0013721622362299604,19.0,20.0,12.229387711316713
VITE,Crypto,0.0009273970751304577,20.0,20.0,10.0
AEUR,Crypto,0.0009064101145044816,21.0,20.0,10.0
WNXM,Crypto,0.0009273970751304577,22.0,20.0,10.0
