source,target
BTC,ETH
BTC,LTC
BTC,BNB
BTC,NEO
ETH,QTUM
ETH,EOS
ETH,SNT
ETH,BNT
BTC,BCC
BTC,GAS
ETH,BNB
BTC,USDT
ETH,USDT
BTC,HSR
ETH,OAX
ETH,DNT
ETH,MCO
ETH,ICN
BTC,MCO
BTC,WTC
ETH,WTC
LRC,BTC
LRC,ETH
BTC,QTUM
YOYO,BTC
BTC,OMG
ETH,OMG
BTC,ZRX
ETH,ZRX
BTC,STRAT
ETH,STRAT
BTC,SNGLS
ETH,SNGLS
BTC,BQX
ETH,BQX
BTC,KNC
ETH,KNC
BTC,FUN
ETH,FUN
SNM,BTC
SNM,ETH
ETH,NEO
BTC,IOTA
ETH,IOTA
BTC,LINK
ETH,LINK
BTC,XVG
ETH,XVG
BTC,SALT
ETH,SALT
MDA,BTC
MDA,ETH
BTC,MTL
ETH,MTL
BTC,SUB
ETH,SUB
BTC,EOS
BTC,SNT
ETH,ETC
BTC,ETC
BTC,MTH
ETH,MTH
BTC,ENG
ETH,ENG
BTC,DNT
BTC,ZEC
ETH,ZEC
BTC,BNT
BTC,AST
ETH,AST
BTC,DASH
ETH,DASH
BTC,OAX
BTC,ICN
BTG,BTC
BTG,ETH
BTC,EVX
ETH,EVX
BTC,REQ
ETH,REQ
BTC,VIB
ETH,VIB
ETH,HSR
BTC,TRX
ETH,TRX
BTC,POWR
ETH,POWR
BTC,ARK
ETH,ARK
YOYO,ETH
BTC,XRP
ETH,XRP
BTC,MOD
ETH,MOD
BTC,ENJ
ETH,ENJ
STORJ,BTC
STORJ,ETH
BNB,USDT
BNB,VEN
YOYO,BNB
POWR,BNB
BTC,VEN
ETH,VEN
KMD,BTC
KMD,ETH
BNB,NULS
BTC,RCN
ETH,RCN
BNB,RCN
BTC,NULS
ETH,NULS
BTC,RDN
ETH,RDN
RDN,BNB
BTC,XMR
ETH,XMR
BNB,DLT
WTC,BNB
BTC,DLT
ETH,DLT
AMB,BTC
AMB,ETH
AMB,BNB
ETH,BCC
BCC,USDT
BCC,BNB
BTC,BAT
ETH,BAT
BNB,BAT
BTC,BCPT
ETH,BCPT
BNB,BCPT
BTC,ARN
ETH,ARN
BTC,GVT
ETH,GVT
CDT,BTC
CDT,ETH
BTC,GXS
ETH,GXS
NEO,USDT
BNB,NEO
BTC,POE
ETH,POE
BTC,QSP
ETH,QSP
BNB,QSP
BTC,BTS
ETH,BTS
BNB,BTS
BTC,XZC
ETH,XZC
XZC,BNB
BTC,LSK
ETH,LSK
BNB,LSK
TNT,BTC
TNT,ETH
BTC,FUEL
ETH,FUEL
BTC,MANA
ETH,MANA
BCD,BTC
BCD,ETH
BTC,DGD
ETH,DGD
BNB,IOTA
BTC,ADX
ETH,ADX
BNB,ADX
BTC,ADA
ETH,ADA
BTC,PPT
ETH,PPT
BTC,CMT
ETH,CMT
BNB,CMT
BTC,XLM
ETH,XLM
XLM,BNB
BTC,CND
ETH,CND
BNB,CND
BTC,LEND
ETH,LEND
BTC,WABI
ETH,WABI
BNB,WABI
ETH,LTC
LTC,USDT
BNB,LTC
BTC,TNB
ETH,TNB
BTC,WAVES
ETH,WAVES
WAVES,BNB
BTC,GTO
ETH,GTO
BNB,GTO
BTC,ICX
ETH,ICX
BNB,ICX
BTC,OST
ETH,OST
BNB,OST
BTC,ELF
ETH,ELF
BTC,AION
ETH,AION
BNB,AION
BTC,NEBL
NEBL,BNB
BTC,BRD
ETH,BRD
BNB,BRD
BNB,MCO
BTC,EDO
ETH,EDO
BTC,WINGS
ETH,WINGS
BTC,NAV
ETH,NAV
BNB,NAV
BTC,LUN
ETH,LUN
BTC,TRIG
ETH,TRIG
BNB,TRIG
BTC,APPC
ETH,APPC
BNB,APPC
BTC,VIBE
ETH,VIBE
BTC,RLC
ETH,RLC
RLC,BNB
BTC,INS
ETH,INS
BTC,PIVX
BNB,PIVX
BTC,IOST
ETH,IOST
BTC,CHAT
ETH,CHAT
STEEM,BTC
STEEM,ETH
STEEM,BNB
BTC,NANO
ETH,NANO
BNB,NANO
BTC,VIA
ETH,VIA
BNB,VIA
BTC,BLZ
