timestamp,crypto_currency,fiat_currency,volumeUSD
2022-09-30,BTC,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,764106932.6999472
2022-09-30,OTHERS,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,659411106.6977735
2022-09-30,USDT,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,693321550.642063
2022-10-31,BTC,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,659979630.5383528
2022-10-31,OTHERS,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,194516358.63326162
2022-10-31,USDT,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,653691263.5718774
2022-11-30,BTC,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,778849627.4083735
2022-11-30,OTHERS,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,180454065.2160951
2022-11-30,USDT,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,836828034.0085765
2022-12-31,BTC,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,673949149.8277009
2022-12-31,OTHERS,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,79467920.96977347
2022-12-31,USDT,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,477950231.18946755
2023-01-31,BTC,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,1225646811.302292
2023-01-31,OTHERS,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,156116805.5547786
2023-01-31,USDT,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,467119903.71747196
2023-02-28,BTC,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,1085980111.6554315
2023-02-28,OTHERS,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,153051601.28149706
2023-02-28,USDT,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,423352597.742681
2023-03-31,BTC,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,1038565789.327691
2023-03-31,OTHERS,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,242313178.60197002
2023-03-31,USDT,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,589709451.7689645
2023-04-30,BTC,AUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDAUDGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBPGBP,375756973.4507224
