timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-01,9.48100000,9.48700000,9.30000000,9.30000000,491816.00000000,1717286399999,4619156.78100000,822,303579.00000000,2849963.20500000,0
2024-06-02,9.33000000,9.48200000,9.11200000,9.19600000,569321.00000000,1717372799999,5328585.83900000,1092,270377.00000000,2528927.81300000,0
2024-06-03,9.15200000,9.48000000,9.11800000,9.27100000,321711.00000000,1717459199999,3020435.99600000,717,159716.00000000,1497456.78300000,0
2024-06-04,9.26700000,9.65600000,9.20500000,9.62200000,484573.00000000,1717545599999,4589450.65700000,1117,238584.00000000,2264525.62200000,0
2024-06-05,9.65000000,9.91200000,9.59000000,9.88700000,277886.00000000,1717631999999,2710573.20300000,939,160053.00000000,1560330.26000000,0
2024-06-06,9.84900000,9.85800000,9.59200000,9.79200000,260516.00000000,1717718399999,2540735.31700000,836,168848.00000000,1647425.01500000,0
2024-06-07,9.77700000,10.55200000,8.87900000,9.44000000,2527085.00000000,1717804799999,25515067.60500000,4083,1283760.00000000,12960664.54300000,0
2024-06-08,9.44000000,9.55300000,8.81100000,8.93200000,501881.00000000,1717891199999,4555755.21200000,1028,259583.00000000,2360162.62400000,0
2024-06-09,8.94300000,8.98200000,8.74000000,8.81500000,276005.00000000,1717977599999,2434688.51100000,630,135645.00000000,1197040.44800000,0
2024-06-10,8.81500000,8.81900000,8.47500000,8.53200000,422720.00000000,1718063999999,3657357.86900000,909,179889.00000000,1557190.91900000,0
2024-06-11,8.50000000,8.61300000,7.81800000,7.99000000,434458.00000000,1718150399999,3539499.22100000,1388,186330.00000000,1522501.73900000,0
2024-06-12,7.97300000,8.50000000,7.75000000,8.39400000,523502.00000000,1718236799999,4379975.06000000,1389,283131.00000000,2366735.19000000,0
2024-06-13,8.40100000,8.64200000,8.00000000,8.03000000,291675.00000000,1718323199999,2441903.80000000,797,153470.00000000,1286157.43400000,0
2024-06-14,8.03400000,8.18100000,7.58600000,7.85200000,427954.00000000,1718409599999,3372056.04500000,1077,227253.00000000,1791785.60700000,0
2024-06-15,7.85200000,8.07000000,7.85200000,7.97200000,223462.00000000,1718495999999,1781229.53300000,617,115209.00000000,919096.16400000,0
2024-06-16,7.95700000,8.08400000,7.85600000,7.99300000,250691.00000000,1718582399999,1999844.21200000,751,123893.00000000,989503.24300000,0
2024-06-17,7.97800000,8.05600000,7.25000000,7.50000000,363183.00000000,1718668799999,2763858.90600000,1050,196427.00000000,1492753.15000000,0
2024-06-18,7.51800000,7.51800000,6.29000000,6.74700000,910147.00000000,1718755199999,6146771.14800000,2151,521752.00000000,3519140.97100000,0
2024-06-19,6.73100000,6.89900000,6.65800000,6.73700000,415514.00000000,1718841599999,2823114.14700000,1115,242408.00000000,1649473.49600000,0
2024-06-20,6.75000000,7.35100000,6.72000000,6.89300000,749264.00000000,1718927999999,5338282.98900000,2028,370481.00000000,2638846.30700000,0
2024-06-21,6.90900000,7.16300000,6.80700000,6.95600000,317645.00000000,1719014399999,2227686.39900000,963,145839.00000000,1023495.76400000,0
2024-06-22,6.96500000,7.08800000,6.85700000,6.99500000,300546.00000000,1719100799999,2107773.24300000,1242,137792.00000000,964607.02100000,0
2024-06-23,6.97500000,7.04700000,6.64100000,6.68800000,292704.00000000,1719187199999,1995275.77600000,803,171627.00000000,1170957.86300000,0
2024-06-24,6.72100000,6.88100000,6.30100000,6.88100000,422558.00000000,1719273599999,2819135.66100000,1342,196684.00000000,1311983.73500000,0
2024-06-25,6.89800000,7.15000000,6.85000000,7.04900000,136058.00000000,1719359999999,951706.90000000,384,64055.00000000,448971.37000000,0
2024-06-26,7.06300000,7.10500000,6.74500000,6.79100000,73318.00000000,1719446399999,507647.63500000,245,19683.00000000,136312.41500000,0
2024-06-27,6.77100000,7.05500000,6.62700000,6.99000000,63829.00000000,1719532799999,437374.84900000,315,40625.00000000,279052.47800000,0
2024-06-28,6.96200000,7.09000000,6.83000000,6.83000000,63776.00000000,1719619199999,443820.52100000,245,33809.00000000,235357.42000000,0
2024-06-29,6.84300000,6.99200000,6.57800000,6.57800000,44264.00000000,1719705599999,297824.67000000,259,24001.00000000,161450.18100000,0
2024-06-30,6.61800000,6.97800000,6.52800000,6.95700000,36726.00000000,1719791999999,247054.66400000,218,20305.00000000,136954.80100000,0
