timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-03-01,56.61000000,61.40000000,56.23000000,60.45000000,280602.86600000,1709337599999,16439466.70970000,7151,174499.41500000,10212907.71922000,0
2024-03-02,60.47000000,64.46000000,59.15000000,63.92000000,237395.83900000,1709423999999,14740698.42523000,8960,133385.68300000,8289810.90072000,0
2024-03-03,63.80000000,66.03000000,56.16000000,62.66000000,205351.19900000,1709510399999,12945081.97334000,6911,106036.88900000,6699447.80440000,0
2024-03-04,62.70000000,68.89000000,60.86000000,63.78000000,252044.92000000,1709596799999,16383668.59447000,9749,139296.66000000,9055034.14154000,0
2024-03-05,63.91000000,66.32000000,48.40000000,59.13000000,206453.71400000,1709683199999,12585315.86994000,11460,103966.55900000,6363584.99742000,0
2024-03-06,58.86000000,63.90000000,56.75000000,63.53000000,101331.57900000,1709769599999,6286931.97782000,4900,56447.35000000,3503182.17031000,0
2024-03-07,63.67000000,66.80000000,63.11000000,66.36000000,98596.18500000,1709855999999,6438944.55816000,5113,46257.26600000,3016720.99116000,0
2024-03-08,66.36000000,67.40000000,62.00000000,64.33000000,117059.12900000,1709942399999,7518350.21705000,5690,54311.88500000,3495818.28304000,0
2024-03-09,64.20000000,77.47000000,63.58000000,74.93000000,734627.01600000,1710028799999,53779071.70819000,24043,379517.44700000,27758222.24476000,0
2024-03-10,74.93000000,79.79000000,70.11000000,76.61000000,508533.04800000,1710115199999,38583938.97656000,18823,250858.23100000,19030582.60297000,0
2024-03-11,76.64000000,76.86000000,70.77000000,74.51000000,178779.49200000,1710201599999,13267141.49007000,9994,73043.15200000,5412205.44088000,0
2024-03-12,74.75000000,75.87000000,67.00000000,73.16000000,120592.02400000,1710287999999,8701581.61199000,6881,68486.47700000,4939248.46741000,0
2024-03-13,72.94000000,77.40000000,72.17000000,73.80000000,143767.37900000,1710374399999,10754967.14008000,6097,70778.67100000,5303304.19078000,0
2024-03-14,73.88000000,74.16000000,66.36000000,71.41000000,119508.38000000,1710460799999,8421194.16364000,6532,58557.43600000,4109086.12636000,0
2024-03-15,71.41000000,72.66000000,60.51000000,70.43000000,296320.66100000,1710547199999,20163876.99561000,13629,133023.73400000,9053300.17983000,0
2024-03-16,70.66000000,74.77000000,62.85000000,64.76000000,266582.19900000,1710633599999,18667130.71317000,10127,132769.12700000,9390917.49714000,0
2024-03-17,64.76000000,68.85000000,60.00000000,67.35000000,147007.98400000,1710719999999,9715852.87133000,5094,65764.61600000,4359063.53130000,0
2024-03-18,67.33000000,69.04000000,61.00000000,62.20000000,72888.54600000,1710806399999,4722873.71701000,4456,33265.29200000,2169081.79070000,0
2024-03-19,62.02000000,62.91000000,53.11000000,55.35000000,135963.33600000,1710892799999,7732143.35325000,6709,56902.99600000,3250564.68640000,0
2024-03-20,55.36000000,61.73000000,52.80000000,61.24000000,127411.28600000,1710979199999,7267177.64912000,6354,61580.55600000,3527685.69171000,0
2024-03-21,61.18000000,61.99000000,57.86000000,60.60000000,61730.56000000,1711065599999,3730319.33573000,3388,35141.41700000,2118770.45342000,0
2024-03-22,60.70000000,63.82000000,56.00000000,59.57000000,72943.79100000,1711151999999,4424339.20294000,3816,33449.60600000,2035338.23463000,0
2024-03-23,59.39000000,62.10000000,58.04000000,59.97000000,75196.51500000,1711238399999,4560096.14949000,3569,39480.55600000,2390763.49342000,0
2024-03-24,60.05000000,61.58000000,58.80000000,60.58000000,40588.00700000,1711324799999,2441168.51184000,1901,22460.68500000,1351793.71346000,0
2024-03-25,60.65000000,63.67000000,60.35000000,62.79000000,54761.46800000,1711411199999,3420344.71709000,2941,31369.37900000,1959797.46378000,0
2024-03-26,62.79000000,66.03000000,62.69000000,65.31000000,53639.91400000,1711497599999,3458067.10750000,3954,27500.20200000,1771041.22888000,0
2024-03-27,65.21000000,65.78000000,61.39000000,62.70000000,52050.29700000,1711583999999,3313940.34438000,3778,25427.58400000,1618218.56025000,0
2024-03-28,62.65000000,63.58000000,61.27000000,62.16000000,69925.49800000,1711670399999,4365258.74622000,2366,24567.32600000,1535691.92805000,0
2024-03-29,62.06000000,64.78000000,60.79000000,63.94000000,74091.29600000,1711756799999,4690474.43830000,3137,35245.68100000,2232958.04308000,0
2024-03-30,63.93000000,64.30000000,61.14000000,61.80000000,56695.84300000,1711843199999,3557540.69134000,2061,23716.55600000,1490973.21647000,0
2024-03-31,61.82000000,65.09000000,61.61000000,64.35000000,42658.19000000,1711929599999,2717748.70593000,2162,27645.61700000,1761128.49406000,0
