timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-01,25.99000000,26.24000000,24.75000000,25.00000000,828.05000000,1725235199999,21036.62540000,135,472.57000000,11979.97210000,0
2024-09-02,24.91000000,25.57000000,24.46000000,25.57000000,2608.92000000,1725321599999,65744.08330000,398,918.61000000,23036.43510000,0
2024-09-03,25.55000000,26.37000000,24.00000000,24.02000000,2792.52000000,1725407999999,70219.40520000,420,1250.35000000,31618.04430000,0
2024-09-04,24.11000000,24.86000000,22.87000000,24.27000000,2085.93000000,1725494399999,50128.01850000,406,860.71000000,20759.69950000,0
2024-09-05,24.30000000,24.44000000,22.50000000,22.57000000,3379.82000000,1725580799999,78469.96660000,592,1394.80000000,32336.93820000,0
2024-09-06,22.57000000,22.72000000,21.73000000,21.90000000,3197.11000000,1725667199999,71107.81720000,675,1301.25000000,28939.67900000,0
